"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LOC101930075 /// LOC102724993 /// NPIPA1 /// NPIPA2 /// NPIPA3 /// NPIPA5 /// NPIPA7 /// NPIPA8 /// PKD1P1",-0.401908271908272,9.62077669902913,-2.30568652990359,0.0231090942114202,0.253961124683198,-3.43039328134568
"RPL3",-0.186576576576576,12.9063106796117,-2.30533544389497,0.0231295005100532,0.253961124683198,-3.43109970990933
"PHF3",-0.195401310401311,8.11201941747573,-2.30531907751663,0.0231304521660678,0.253961124683198,-3.43113263874479
"PRKAR1A",-0.236790881790882,10.1631715210356,-2.30529606738256,0.0231317901949698,0.253961124683198,-3.4311789343343
"SIX2",0.117710892710893,7.04470873786408,2.30470582427616,0.0231661358789968,0.254131758445326,-3.4323663417122
"CCL3 /// CCL3L1 /// CCL3L3",0.408824733824734,6.85398058252427,2.30398573529667,0.0232080979933833,0.254385599659834,-3.43381459524438
"DYNC2H1",-0.328955773955774,7.46592233009709,-2.30305233775216,0.0232625899696342,0.254541576167207,-3.4356912558384
"ZC3H13",-0.122719082719083,8.62606796116505,-2.30296012186209,0.0232679796671669,0.254541576167207,-3.43587662538069
"ASB12 /// MTMR8",0.203828828828829,9.11155339805825,2.3017791632875,0.0233370998687436,0.254541576167207,-3.43824996509811
"NTN1",0.239758394758395,6.39961165048544,2.301588394423,0.0233482823067609,0.254541576167207,-3.43863324585632
"ZNF217",-0.394701064701065,9.71669902912621,-2.30140209154089,0.0233592075127927,0.254541576167207,-3.4390075264224
"PRCP",-0.312223587223587,10.1846601941748,-2.30130493044846,0.0233649070363225,0.254541576167207,-3.43920271130237
"DHX38",-0.256212121212122,6.59417475728155,-2.30099030601194,0.0233833714838915,0.254541576167207,-3.43983470315532
"DENR",-0.29445945945946,10.5892233009709,-2.30049705153771,0.0234123451019497,0.254541576167207,-3.4408253568607
"MS4A3",0.248468468468468,8.03592233009709,2.30030570869597,0.0234235930290266,0.254541576167207,-3.44120959923362
"KHDRBS1",-0.131681681681682,9.36491909385113,-2.30021422851542,0.0234289722950075,0.254541576167207,-3.44139329373982
"TJAP1",-0.160311220311221,7.64029126213592,-2.30020521977732,0.0234295020904185,0.254541576167207,-3.44141138315933
"PWWP2A",0.274049959049959,4.73223300970874,2.29945319339759,0.0234737652637251,0.254670077561104,-3.44292121810224
"CSDE1",-0.166840704340705,11.7027184466019,-2.2993640474864,0.0234790171395587,0.254670077561104,-3.44310016607038
"CBLL1",-0.180180180180181,5.09194174757282,-2.29886974256015,0.0235081570273711,0.254781669787426,-3.44409230156613
"STMN2",0.21019656019656,6.27368932038835,2.29784640869069,0.0235685850311908,0.255231912417102,-3.44614566176718
"FAM172A",-0.332743652743654,9.13834951456311,-2.29718305185995,0.0236078293498508,0.255452212700747,-3.4474762767032
"IVD",-0.157375102375102,6.72210355987055,-2.2963967834854,0.0236544196232254,0.255751584966313,-3.44905299237377
"FOSL2",0.132769587769588,6.27582524271845,2.29551535251213,0.0237067449446343,0.255937006294691,-3.45081996478099
"AVP",0.209221949221949,6.13485436893204,2.29443730909577,0.0237708804454461,0.255937006294691,-3.452980253642
"SLC22A17",-0.193409090909091,6.65393203883495,-2.29423459253756,0.0237829576017375,0.255937006294691,-3.45338637546439
"PCBP1",-0.221265356265357,10.1209708737864,-2.29409115447144,0.0237915064107658,0.255937006294691,-3.45367371950855
"ZDHHC4",-0.395421785421787,7.99310679611651,-2.29397375117306,0.0237985055780111,0.255937006294691,-3.45390889712175
"BNIP1",0.0917594867594863,7.84877022653722,2.29389464021774,0.0238032229136681,0.255937006294691,-3.4540673629626
"SPRY2",-0.314340704340705,7.01223300970874,-2.29387942977034,0.0238041299972198,0.255937006294691,-3.45409783019655
"APPL1",-0.225004095004096,8.52796116504854,-2.29235094332606,0.023895437389989,0.256690222839337,-3.45715853753238
"KCTD15",0.135671580671581,7.72252427184466,2.29201376530671,0.0239156208738286,0.256690222839337,-3.45783347150591
"GABRG3",0.188816543816543,6.70252427184466,2.2917542788683,0.0239311639495054,0.256690222839337,-3.45835282863128
"TAF1A",-0.323705978705979,6.31174757281553,-2.28882130447915,0.0241074661664777,0.257877457028973,-3.46421945988115
"PMS2P8",-0.266318591318591,8.22902912621359,-2.28871268617231,0.0241140171343212,0.257877457028973,-3.4644365925873
"RBM15B",-0.175773955773956,9.54776699029126,-2.28839931853209,0.024132925682628,0.257877457028973,-3.46506297637559
"MYO1B",-0.18967512967513,7.9246925566343,-2.28822654709936,0.0241433562562296,0.257877457028973,-3.46540829260193
"PIK3C2B",-0.2986895986896,8.12058252427184,-2.28796508298317,0.0241591489336071,0.257877457028973,-3.46593083344434
"C7",-0.611334971334972,7.4952427184466,-2.28693622049317,0.0242213814389275,0.257877457028973,-3.46798651478653
"PCDHB6",0.250872235872236,6.96330097087379,2.28644874851739,0.0242509162017439,0.257877457028973,-3.46896020132974
"TSPY1 /// TSPY10 /// TSPY3 /// TSPY4 /// TSPY8",-0.994496314496316,1.89184466019417,-2.28637471816058,0.0242554042930353,0.257877457028973,-3.4691080548246
"DIP2C",-0.240677723177724,9.10043689320388,-2.28625247673572,0.0242628167796713,0.257877457028973,-3.46935218612165
"TCP11L1",0.159232186732187,6.70242718446602,2.2861831729715,0.0242670201123391,0.257877457028973,-3.4694905891469
"MICU2",-0.303992628992629,9.32398058252427,-2.28569160413131,0.0242968525659262,0.257877457028973,-3.47047216843025
"MDM1",-0.256486486486487,6.9828640776699,-2.28522962185826,0.0243249188517014,0.257877457028973,-3.47139449602314
"SEC23IP",-0.186337701337701,8.16543689320388,-2.28509185085448,0.0243332942135722,0.257877457028973,-3.47166951753353
"C12orf29",-0.300110565110566,8.10446601941748,-2.28507699072811,0.0243341977404441,0.257877457028973,-3.47169918075743
"NEIL3",-0.292219492219493,7.88805825242718,-2.2846452109035,0.024360463743572,0.257877457028973,-3.4725610079013
"GNG7",-0.37968877968878,6.48572815533981,-2.28401207219656,0.0243990238701882,0.257877457028973,-3.47382448102621
"SMARCA5",-0.221459186459186,8.91686084142395,-2.28400155670451,0.0243996647492799,0.257877457028973,-3.47384546278661
"RHCG",0.248104013104013,7.99291262135922,2.28392733916007,0.0244041884460948,0.257877457028973,-3.47399354799723
"TECTA",0.331855036855037,6.62330097087379,2.28365630037496,0.0244207150258179,0.257877457028973,-3.47453431120788
"SH3YL1",-0.296506961506961,10.352427184466,-2.28361119714042,0.024423466148508,0.257877457028973,-3.47462429337563
"DNAI2",0.354533169533169,7.18917475728155,2.28308789646405,0.0244554053882615,0.25801217178001,-3.47566817590797
"PROSC",-0.353042588042588,7.48007281553398,-2.28251800997302,0.0244902297157876,0.25801217178001,-3.4768047441972
"TRMT1L",-0.353276003276004,7.91339805825243,-2.28210917970316,0.0245152391485887,0.25801217178001,-3.47761994910692
"COPS2",-0.280952088452089,9.2097572815534,-2.28198518606534,0.0245228286646288,0.25801217178001,-3.47786716575625
"SLC26A2",-0.343058968058969,7.83631067961165,-2.2817909523199,0.0245347216529377,0.25801217178001,-3.47825440187921
"PREPL",-0.136093366093366,9.18747572815534,-2.2815289896771,0.0245507697306025,0.25801217178001,-3.47877661963887
"RERGL",-0.73407452907453,4.9352427184466,-2.28073807277606,0.0245992780352987,0.258321089857857,-3.48035297207479
"TMEM121",0.222669942669943,4.88029126213592,2.28011640940013,0.0246374648324789,0.258372742130214,-3.48159164664117
"CD79B",0.211531531531531,6.99932038834951,2.28003561312331,0.0246424317133442,0.258372742130214,-3.48175261233734
"LOC102725136 /// LOC441666",0.163247338247338,6.77485436893204,2.27941643029336,0.0246805246600058,0.258571543240294,-3.4829860043574
"MAML1",-0.190638820638821,8.89242718446602,-2.27849316637399,0.0247374211817409,0.258966884021091,-3.48482455832305
"RNU86 /// RPL3 /// SNORD83B",-0.205665438165438,12.9841504854369,-2.277764186319,0.0247824262726913,0.2592372221946,-3.48627575079679
"ZFC3H1",-0.254406224406224,9.58436893203883,-2.27716746348753,0.0248193197207594,0.259299970694845,-3.48746334680626
"METTL17",-0.208235053235053,10.8326213592233,-2.2766648511084,0.0248504320529717,0.259299970694845,-3.48846342803149
"TNNT2",0.18474610974611,7.67621359223301,2.27665190225903,0.0248512340554122,0.259299970694845,-3.48848919060168
"LY6D",0.387096642096643,4.52466019417476,2.27627891575665,0.0248743451825686,0.259299970694845,-3.48923121488867
"PPRC1",-0.222256347256348,7.12728155339806,-2.27611745854304,0.0248843553082659,0.259299970694845,-3.48955238620191
"KBTBD2",-0.238882063882064,10.5600970873786,-2.27516578939834,0.024943429423027,0.25940439747899,-3.49144503510201
"SETD5",-0.245708435708437,10.2120388349515,-2.27515132799132,0.0249443280528909,0.25940439747899,-3.49147379000754
"SLC30A9",-0.255352170352171,10.5990291262136,-2.2750285545724,0.0249519583220634,0.25940439747899,-3.49171790474584
"UBE3A",-0.166749249249249,7.23648867313916,-2.27413889093511,0.0250073114835373,0.259780026671796,-3.49348650151798
"GPBP1L1",-0.223796068796068,9.24097087378641,-2.27340042871541,0.0250533390699117,0.259903591055681,-3.4949540479699
"RPL22",-0.14045126945127,12.1369708737864,-2.27333104168531,0.0250576677133224,0.259903591055681,-3.49509191889139
"MAN2B1",0.186478296478296,8.33456310679612,2.27281291139988,0.025090011544984,0.260039498489616,-3.49612131618788
"PTH",-0.215495495495495,4.90592233009709,-2.27207049062698,0.0251364204197424,0.260280317880925,-3.49759595662727
"INADL",-0.281054463554464,6.65441747572816,-2.27182529263651,0.0251517643472059,0.260280317880925,-3.49808288858004
"AR",-0.314457411957413,8.27514563106796,-2.27053986013475,0.025232338417162,0.260914348667134,-3.50063482232341
"ZC3H14",-0.164398034398034,9.03912621359223,-2.26930738142391,0.0253098059463342,0.261469414856781,-3.50308041160016
"PSG1",0.126232596232596,6.13686084142395,2.26859735000522,0.0253545297476535,0.261469414856781,-3.50448877557144
"TDP2",-0.292956592956593,9.34961165048544,-2.26830665935461,0.0253728599169615,0.261469414856781,-3.50506525320562
"TRAF3",-0.17743447993448,7.71315533980582,-2.26773690957533,0.0254088205502094,0.261469414856781,-3.50619494936169
"HMGXB4",-0.152399672399673,8.60995145631068,-2.26761873502027,0.0254162849184202,0.261469414856781,-3.50642923321357
"SMAD6",0.12648751023751,6.99449029126214,2.26734680294428,0.0254334685254438,0.261469414856781,-3.50696830337762
"ARL4A",-0.423353808353808,8.37019417475728,-2.26684724284217,0.0254650627062922,0.261469414856781,-3.50795846547306
"NCOA4",-0.204058149058149,11.7504854368932,-2.26673623506911,0.0254720879582943,0.261469414856781,-3.50817846383994
"OCLM",0.192420147420147,8.7604854368932,2.26667815486908,0.0254757643069986,0.261469414856781,-3.50829356498219
"SAP18",-0.237469287469287,9.74045307443366,-2.26661940544439,0.0254794834899282,0.261469414856781,-3.50840998967585
"CORT",0.152620802620802,7.53058252427184,2.26520698120743,0.0255690417859113,0.261622070620566,-3.51120819859579
"NPY",0.141285831285831,7.07135922330097,2.26506604043073,0.0255779936293039,0.261622070620566,-3.51148733598173
"MRPS10",-0.187481572481573,8.99310679611651,-2.26394412050409,0.0256493504312347,0.261622070620566,-3.5137087756681
